id,name,class,address,latitude,longitude
71,台電南部展示館,其他,屏東縣恆春鎮大光里9鄰大光路78之7號,120.7419,21.947652
72,國立海洋生物博物館,博物館,屏東縣車城鄉後灣村1鄰後灣路2號,120.698547,22.050328
73,墾丁國家森林遊樂區,森林遊樂區,屏東縣恆春鎮墾丁里9鄰公園路201號,120.811637,21.958593
74,墾丁海水浴場,其他,屏東縣恆春鎮墾丁里3鄰墾丁路451號,120.791393,21.945291
75,大路觀主題樂園,其他,屏東縣恆春鎮大光里9鄰大光路78之7號,120.7419,21.947652
76,小墾丁渡假村,其他,屏東縣恆春鎮墾丁里4鄰墾丁路205號,120.797942,21.945233
77,屏東酒廠內埔,其他,屏東縣內埔鄉建國路36號,120.5486389,22.647996
78,屏菸1936文化基地 1936,觀光地區,屏東縣屏東市瑞光里33鄰菸廠路1號,120.504696,22.661487
79,山川琉璃吊橋,其他,屏東縣三地門鄉三地村12鄰中正路二段2號,120.652545,22.714708
80,林後四林平地森林園區,其他,屏東縣潮州鎮泗林里12鄰潮州路800號,120.558004,22.547514
81,潮好玩幸福村,其他,屏東縣東港鎮大潭里13鄰大潭路169號,120.478843,22.457037
82,看海美術館旅服中心,其他,屏東縣東港鎮大潭里13鄰大潭路169號,120.478843,22.457037
83,車城福安宮,宗教場所,屏東縣車城鄉福安村7鄰福安路51號,120.71091,22.07109
84,雙流國家森林遊樂區,森林遊樂區,屏東縣獅子鄉丹路2巷23號,120.7969938,22.2161546
85,八卦山風景區彰化地區,國家級風景特定區,彰化縣彰化市卦山里1鄰卦山路1號之5,120.546167,24.078378
86,彰化孔子廟,其他,彰化縣彰化市永福里12鄰孔門路30號,120.543387,24.079008
87,扇形車庫,其他,彰化縣彰化市忠孝里1鄰彰美路一段1號,120.539901,24.086207
88,溪州公園,其他,彰化縣溪州鄉溪州村15鄰中央路三段138號,120.495833,23.841076
89,王功漁港含海空步道,其他,彰化縣芳苑鄉芳苑村13鄰芳漢路芳二段160號,120.3202,23.928799
90,田尾公路花園,其他,彰化縣田尾鄉柳鳳村3鄰民生路二段1號,120.524427,23.907617
91,臺灣玻璃館,其他,彰化縣鹿港鎮東石里25鄰鹿工南四路30號,120.395591,24.068843
92,鹿港天后宮,宗教場所,彰化縣鹿港鎮玉順里13鄰中山路430號,120.431398,24.059315
93,鹿港老街及周邊地區,其他,彰化縣鹿港鎮洛津里12鄰瑤林街1號,120.432998,24.055622
94,鹿港龍山寺,宗教場所,彰化縣鹿港鎮龍山里14鄰金門巷81號,120.435674,24.050267
102,鹽寮福隆遊憩區,國家級風景特定區,新北市貢寮區福隆里11鄰福隆街1號,121.944623,25.016034
